"Ensembl ID"	"Gene Symbol"	"Entrez ID"
"ENSG00000223972"	"DDX11L1"	100287102
"ENSG00000227232"	"WASH7P"	653635
"ENSG00000278267"	"MIR6859-1"	102466751
"ENSG00000243485"	"MIR1302-2HG"	105376912
"ENSG00000284332"	"MIR1302-2"	100302278
"ENSG00000237613"	"FAM138A"	645520
"ENSG00000268020"	"OR4G4P"	NA
"ENSG00000240361"	"OR4G11P"	NA
"ENSG00000186092"	"OR4F5"	79501
"ENSG00000238009"	"RP11-34P13.7"	NA
"ENSG00000239945"	"RP11-34P13.8"	NA
"ENSG00000233750"	"CICP27"	NA
"ENSG00000268903"	"RP11-34P13.15"	NA
"ENSG00000269981"	"RP11-34P13.16"	NA
"ENSG00000239906"	"RP11-34P13.14"	NA
"ENSG00000241860"	"RP11-34P13.13"	NA
"ENSG00000222623"	"RNU6-1100P"	NA
"ENSG00000241599"	"RP11-34P13.9"	NA
"ENSG00000279928"	"ABC7-43046700E7.1"	NA
"ENSG00000279457"	"RP11-34P13.18"	102723897
"ENSG00000273874"	"MIR6859-2"	102465909
"ENSG00000228463"	"AP006222.2"	NA
"ENSG00000241670"	"RPL23AP21"	NA
"ENSG00000236679"	"RPL23AP24"	NA
"ENSG00000236743"	"RP5-857K21.15"	NA
"ENSG00000236601"	"RP4-669L17.2"	NA
"ENSG00000237094"	"RP4-669L17.10"	NA
"ENSG00000269732"	"WBP1LP7"	NA
"ENSG00000278566"	"OR4F29"	729759
"ENSG00000224813"	"SEPT14P13"	NA
"ENSG00000233653"	"CICP7"	NA
"ENSG00000250575"	"RP4-669L17.8"	NA
"ENSG00000278757"	"U6"	NA
"ENSG00000230021"	"RP5-857K21.4"	101928626
"ENSG00000235146"	"RP5-857K21.2"	NA
"ENSG00000225972"	"MTND1P23"	NA
"ENSG00000225630"	"MTND2P28"	NA
"ENSG00000237973"	"MTCO1P12"	NA
"ENSG00000278791"	"MIR6723"	102465432
"ENSG00000229344"	"MTCO2P12"	NA
"ENSG00000240409"	"MTATP8P1"	NA
"ENSG00000248527"	"MTATP6P1"	NA
"ENSG00000198744"	"MTCO3P12"	NA
"ENSG00000268663"	"WBP1LP6"	NA
"ENSG00000273547"	"OR4F16"	81399
"ENSG00000283574"	"RP11-206L10.17"	NA
"ENSG00000229376"	"CICP3"	NA
"ENSG00000228327"	"RP11-206L10.2"	NA
"ENSG00000223181"	"RNU6-1199P"	NA
"ENSG00000229905"	"RP11-206L10.4"	NA
"ENSG00000237491"	"RP11-206L10.9"	NA
"ENSG00000230092"	"RP11-206L10.8"	NA
"ENSG00000177757"	"FAM87B"	400728
"ENSG00000228794"	"LINC01128"	643837
"ENSG00000225880"	"LINC00115"	79854
"ENSG00000230368"	"FAM41C"	284593
"ENSG00000234711"	"TUBB8P11"	NA
"ENSG00000283040"	"FAM166AP3"	NA
"ENSG00000272438"	"RP11-54O7.16"	NA
"ENSG00000230699"	"RP11-54O7.1"	NA
"ENSG00000241180"	"RP11-54O7.2"	NA
"ENSG00000223764"	"RP11-54O7.3"	100130417
"ENSG00000187634"	"SAMD11"	148398
"ENSG00000188976"	"NOC2L"	26155
"ENSG00000187961"	"KLHL17"	339451
"ENSG00000187583"	"PLEKHN1"	84069
"ENSG00000187642"	"PERM1"	84808
"ENSG00000272512"	"RP11-54O7.17"	NA
"ENSG00000188290"	"HES4"	57801
"ENSG00000187608"	"ISG15"	9636
"ENSG00000231702"	"RP11-54O7.10"	NA
"ENSG00000224969"	"RP11-54O7.11"	NA
"ENSG00000188157"	"AGRN"	375790
"ENSG00000242590"	"RP11-54O7.14"	NA
"ENSG00000217801"	"RP11-465B22.3"	100288175
"ENSG00000273443"	"RP11-54O7.18"	NA
"ENSG00000237330"	"RNF223"	401934
"ENSG00000131591"	"C1orf159"	54991
"ENSG00000223823"	"LINC01342"	254099
"ENSG00000207730"	"MIR200B"	406984
"ENSG00000207607"	"MIR200A"	406983
"ENSG00000198976"	"MIR429"	554210
"ENSG00000272141"	"RP11-465B22.8"	NA
"ENSG00000205231"	"TTLL10-AS1"	100506376
"ENSG00000162571"	"TTLL10"	254173
"ENSG00000186891"	"TNFRSF18"	8784
"ENSG00000186827"	"TNFRSF4"	7293
"ENSG00000078808"	"SDF4"	51150
"ENSG00000176022"	"B3GALT6"	126792
"ENSG00000184163"	"C1QTNF12"	388581
"ENSG00000260179"	"RP5-902P8.12"	NA
"ENSG00000160087"	"UBE2J2"	118424
"ENSG00000230415"	"LINC01786"	NA
"ENSG00000162572"	"SCNN1D"	6339
"ENSG00000131584"	"ACAP3"	116983
"ENSG00000278073"	"MIR6726"	102465434
"ENSG00000169972"	"PUSL1"	126789
"ENSG00000127054"	"INTS11"	54973
"ENSG00000283712"	"MIR6727"	102465435
"ENSG00000240731"	"RP5-890O3.9"	NA
"ENSG00000224051"	"CPTP"	80772
"ENSG00000169962"	"TAS1R3"	83756
"ENSG00000107404"	"DVL1"	1855
"ENSG00000284372"	"MIR6808"	102466740
"ENSG00000162576"	"MXRA8"	54587
"ENSG00000175756"	"AURKAIP1"	54998
"ENSG00000223663"	"NDUFB4P8"	NA
"ENSG00000221978"	"CCNL2"	81669
"ENSG00000224870"	"RP4-758J18.2"	148413
"ENSG00000242485"	"MRPL20"	55052
"ENSG00000264293"	"RN7SL657P"	NA
"ENSG00000272455"	"RP4-758J18.13"	NA
"ENSG00000235098"	"ANKRD65"	441869
"ENSG00000225905"	"RP4-758J18.7"	NA
"ENSG00000205116"	"TMEM88B"	643965
"ENSG00000225285"	"LINC01770"	NA
"ENSG00000179403"	"VWA1"	64856
"ENSG00000215915"	"ATAD3C"	219293
"ENSG00000160072"	"ATAD3B"	83858
"ENSG00000197785"	"ATAD3A"	55210
"ENSG00000205090"	"TMEM240"	339453
"ENSG00000160075"	"SSU72"	29101
"ENSG00000215014"	"RP5-832C2.5"	NA
"ENSG00000274481"	"RP11-345P4.11"	NA
"ENSG00000228594"	"FNDC10"	643988
"ENSG00000272106"	"RP11-345P4.9"	NA
"ENSG00000197530"	"MIB2"	142678
"ENSG00000189409"	"MMP23B"	8510
"ENSG00000248333"	"CDK11B"	984
"ENSG00000272004"	"RP11-345P4.10"	NA
"ENSG00000189339"	"SLC35E2B"	728661
"ENSG00000269737"	"RP11-345P4.6"	NA
"ENSG00000215914"	"MMP23A"	NA
"ENSG00000008128"	"CDK11A"	728642
"ENSG00000268575"	"RP1-283E3.8"	NA
"ENSG00000227775"	"RP1-283E3.4"	NA
"ENSG00000215790"	"SLC35E2"	9906
"ENSG00000008130"	"NADK"	65220
"ENSG00000078369"	"GNB1"	2782
"ENSG00000231050"	"RP1-140A9.1"	NA
"ENSG00000169885"	"CALML6"	163688
"ENSG00000178821"	"TMEM52"	339456
"ENSG00000142609"	"CFAP74"	85452
"ENSG00000233542"	"RP11-547D24.1"	NA
"ENSG00000187730"	"GABRD"	2563
"ENSG00000226969"	"RP11-547D24.3"	NA
"ENSG00000067606"	"PRKCZ"	5590
"ENSG00000271806"	"RP5-892K4.1"	NA
"ENSG00000182873"	"PRKCZ-AS1"	NA
"ENSG00000162585"	"FAAP20"	199990
"ENSG00000234396"	"RP11-181G12.4"	NA
"ENSG00000157933"	"SKI"	6497
"ENSG00000116151"	"MORN1"	79906
"ENSG00000272161"	"RP4-713A8.1"	NA
"ENSG00000269896"	"RP4-740C4.5"	100129534
"ENSG00000272420"	"RP4-740C4.7"	NA
"ENSG00000157916"	"RER1"	11079
"ENSG00000157911"	"PEX10"	5192
"ENSG00000149527"	"PLCH2"	9651
"ENSG00000224387"	"RP3-395M20.2"	NA
"ENSG00000229393"	"RP3-395M20.3"	NA
"ENSG00000157881"	"PANK4"	55229
"ENSG00000197921"	"HES5"	388585
"ENSG00000272449"	"RP3-395M20.12"	NA
"ENSG00000238164"	"RP3-395M20.8"	NA
"ENSG00000157873"	"TNFRSF14"	8764
"ENSG00000225931"	"RP3-395M20.7"	NA
"ENSG00000228037"	"RP3-395M20.9"	NA
"ENSG00000157870"	"FAM213B"	127281
"ENSG00000142606"	"MMEL1"	79258
"ENSG00000237058"	"RP13-436F16.1"	NA
"ENSG00000215912"	"TTC34"	100287898
"ENSG00000283259"	"ABC14-1188822O7.1"	NA
"ENSG00000233234"	"RP11-740P5.2"	NA
"ENSG00000231630"	"RP11-740P5.3"	NA
"ENSG00000169717"	"ACTRT2"	140625
"ENSG00000177133"	"LINC00982"	440556
"ENSG00000142611"	"PRDM16"	63976
"ENSG00000283572"	"MIR4251"	100422968
"ENSG00000226286"	"RP1-163G9.2"	NA
"ENSG00000279839"	"RP11-193J6.1"	NA
"ENSG00000272235"	"RP11-22L13.1"	NA
"ENSG00000130762"	"ARHGEF16"	27237
"ENSG00000272088"	"RP11-168F9.2"	NA
